state,x,y
Jammu And Kashmir,-126.0,297.0
Himachal Pradesh,-106.0,229.0
Punjab,-160.0,199.0
Uttaranchal,-87.0,196.0
Haryana,-124.0,166.0
Rajasthan,-213.0,111.0
Uttar Pradesh,-89.0,133.0
Bihar,39.0,100.0
West Bengal,84.0,37.0
Chattisgarh,-28.0,1.0
Madhya Pradesh,-145.0,30.0
Gujrat,-259.0,42.0
Maharashtra,-179.0,-45.0
Orissa,23.0,-17.0
Andhra Pradesh,-95.0,-119.0
Goa,-177.0,-138.0
Karnataka,-157.0,-191.0
Kerala,-134.0,-245.0
Tamil Nadu,-112.0,-228.0
Assam,172.0,113.0
Arunachal Pradesh,210.0,155.0
Nagaland,237.0,113.0
Manipur,225.0,88.0
Mizoram,204.0,57.0
Tripura,181.0,53.0
Meghalaya,154.0,93.0
Jharkhand,30.0,54.0
Sikkim,115.0,139.0
